,Names,Streets,Towns,TownsPlanning,Type,Type2
5301,Shizmo Brewing Co, ,"San Jose, CA 95128", ,Phone: (408) 599-2739,Type: Planning
5302,Shmaltz Brewing Co,6 Fairchild SQ #1 ,"Clifton Park, NY 12065-1254 | Map",6 Fairchild SQ #1 ,Phone: (518) 406-5430,Type: Micro
5303,Shoes & Brews,63 S Pratt Pkwy Unit B ,"Longmont, CO 80501-1702 | Map",63 S Pratt Pkwy Unit B ,Phone: (720) 340-4290,Type: Micro
5304,Shooter Brew Co, ,"Camas, WA 98607-1970", ,Type: Planning,Shoreline Brewery
5305,Shoreline Brewery,208 Wabash St ,"Michigan City, IN 46360-3244 | Map",208 Wabash St ,Phone: (219) 879-4677,Type: Brewpub
5306,Short Snout Brewing,9554 SE 38th Ave ,"Milwaukie, OR  | Map",9554 SE 38th Ave ,Type: Micro,www.shortsnoutbrewing.com
5307,Short's Brewing Co - Production Facility,211 Industrial Park Dr ,"Elk Rapids, MI 49629-9452 | Map",211 Industrial Park Dr ,Phone: (231) 264-8711,Type: Regional
5308,Short's Brewing Co - Production Facility,121 Bridge St ,"Bellaire, MI 49615-1230 | Map",121 Bridge St ,Phone: (231) 533-6622,Type: Brewpub
5309,Shrewd Fox Brewery,552 Highway 55 ,"Eldred, NY 12732 | Map",552 Highway 55 ,Phone: (973) 930-8664,Type: Micro
5310,Shrub Steppe BBQ and Brewery,2014 Logston Blvd ,"Richland, WA 99354-5300 | Map",2014 Logston Blvd ,Phone: (509) 375-9092,Type: Brewpub
5311,"ShuBrew, LLC",210 S Main St ,"Zelienople, PA 16063-1150 | Map",210 S Main St ,Phone: (724) 766-4426,Type: Brewpub
5312,Sibling Revelry Brewing, ,"Westlake, OH 44145-1008", ,Phone: (541) 419-3432,Type: Planning
5313,Sick N Twisted Brewing Co,23851 Highway 385 Ste A ,"Hill City, SD 57745-6544 | Map",23851 Highway 385 Ste A ,Phone: (605) 574-2454,Type: Micro
5314,Side Lot Brewery, ,"Wauconda, IL 60084-1883", ,Phone: (847) 714-2584,Type: Planning
5315,Sidellis Lake Tahoe, ,"South Lake Tahoe, CA 96150-8105", ,Phone: (530) 318-4222,Type: Planning
5316,Sideswipe Brewing,2419 Scioto Harper Dr ,"Columbus, OH 43204-3420 | Map",2419 Scioto Harper Dr ,Phone: (614) 719-9654,Type: Micro
5317,Sierra Blanca Brewing Co,1016 Industrial Rd ,"Moriarty, NM 87035-3567 | Map",1016 Industrial Rd ,Phone: (505) 832-2337,Type: Micro
5318,Sierra Nevada Brewing Co,1075 E 20th St ,"Chico, CA 95928-6722 | Map",1075 E 20th St ,Phone: (530) 893-3520,Type: Regional
5319,Sierra Nevada Brewing Co,100 Sierra Nevada Wy ,"Mills River, NC 28732-8608 | Map",100 Sierra Nevada Wy ,Type: Regional,www.sierranevada.com
5320,Sigma Brewing Company, ,"Houston, TX ", ,Type: Planning,www.sigmabrewingcompany.com
5321,Signal Hill Brewing Company, ,"Downey, CA 90241", ,Type: Planning,Silk City Brewing Co
5322,Silk City Brewing Co, ,",  ", ,Type: Planning,Silver City Brewery
5323,Silver City Brewery,206 Katy Penman Ave ,"Bremerton, WA 98312-4301 | Map",206 Katy Penman Ave ,Phone: (360) 813-1487,Type: Micro
5324,Silver Creek Brewing Co,N57W6172 Portland Rd ,"Cedarburg, WI 53012 | Map",N57W6172 Portland Rd ,Phone: (262) 375-4444,Type: Micro
5325,Silver Gulch Brewing Co,PO Box 82125 ,"Fairbanks, AK 99708-2125 | Map",PO Box 82125 ,Phone: (907) 452-2739,Type: Micro
5326,Silver Lake Brewing Project, ,"Perry, NY 14530", ,Type: Planning,Silver Moon Brewing & Taproom
5327,Silver Moon Brewing & Taproom,24 NW Greenwood Ave ,"Bend, OR 97701-2027 | Map",24 NW Greenwood Ave ,Phone: (541) 388-8331,Type: Micro
5328,Silver Peak Restaurant and Brewery,124 Wonder St ,"Reno, NV 89502-2424 | Map",124 Wonder St ,Phone: (775) 324-1864,Type: Brewpub
5329,Silverking Brewing Company,325 E Lemon St ,"Tarpon Springs, FL 34689 | Map",325 E Lemon St ,Phone: (727) 422-7598,Type: Micro
5330,Silverton Brewery,PO Box 597 1333 Greene St,"Silverton, CO 81433-0597 | Map",PO Box 597 1333 Greene St,Phone: (970) 387-5033,Type: Contract
5331,Simple Roots Brewing Co,51 Arlington Ct ,"Burlington, VT 05408-2544 | Map",51 Arlington Ct ,Type: Micro,Sin City Beer Co
5332,Sin City Beer Co,Miracle Mile Shops 3663 Las Vegas Blvds,"Las Vegas, NV 89118-2852 | Map",Miracle Mile Shops 3663 Las Vegas Blvds,Phone: (702) 809-4939,Type: Contract
5333,Sing Sing Kill Brewery, ,"Ossining, NY 10562", ,Type: Planning,"Singin' River Brewing Company, LLC"
5334,"Singin' River Brewing Company, LLC",526 E College St ,"Florence, AL 35630-5764 | Map",526 E College St ,Type: Micro,www.singinriverbrewery.com
5335,Single Speed Brewing Co,128 Main St ,"Cedar Falls, IA 50613-2644 | Map",128 Main St ,Phone: (319) 266-3581,Type: Micro
5336,Singlecut Beersmiths,1933 37th St ,"Astoria, NY 11105-1118 | Map",1933 37th St ,Phone: (718) 606-0788,Type: Micro
5337,Siskiyou Brew Works,110 Squawvalley Rd ,"Mccloud, CA 96057 | Map",110 Squawvalley Rd ,Phone: (530) 925-5894,Type: Brewpub
5338,Sisyphus Brewing,712 Ontario Ave W ,"Minneapolis, MN 55403-1138 | Map",712 Ontario Ave W ,Type: Micro,www.sisyphusbrewing.com
5339,Six Degrees Brewing Co, ,"Rapid City, SD ", ,Phone: (605) 255-4690,Type: Planning
5340,Six Mile Brewery and Smokehouse, ,"Granite City, IL 62040-4640", ,Type: Planning,www.sixmilebrewery.com
5341,Six Mile Bridge Brewery, ,"Maryland Heights, MO 63043-2503", ,Type: Planning,Six Rivers Brewery
5342,Six Rivers Brewery,1300 Central Ave ,"McKinleyville, CA 95519-6429 | Map",1300 Central Ave ,Phone: (707) 839-7580,Type: Brewpub
5343,Six Row Brewing Co,3690 Forest Park Ave ,"Saint Louis, MO 63108-3310 | Map",3690 Forest Park Ave ,Phone: (314) 531-5600,Type: Micro
5344,Six String Brew Works, ,"Fairfield, OH 45014", ,Type: Planning,www.sixstringbrewworks.com
5345,Six Ten Brewing,7052 Benjamin Rd ,"Tampa, FL 33634-3034 | Map",7052 Benjamin Rd ,Phone: (813) 886-0610,Type: Micro
5346,Sixpoint Brewery,40 Van Dyke St ,"Brooklyn, NY 11231-1529 | Map",40 Van Dyke St ,Phone: (347) 227-8676,Type: Regional
5347,SKA Brewing,"225 Girard, Bodo Park ","Durango, CO 81303-6827 | Map","225 Girard, Bodo Park ",Phone: (970) 247-5792,Type: Regional
5348,Skagit River Brewing Co,404 S 3rd St ,"Mount Vernon, WA 98273-3824 | Map",404 S 3rd St ,Phone: (360) 336-2884,Type: Brewpub
5349,Skagit Valley  Malting,11966 Westar Ln ,"Burlington, WA 98233 | Map",11966 Westar Ln ,Phone: (360) 982-1262,Type: Micro
5350,Skagway Brewing Co,PO Box 946 ,"Skagway, AK 99840-0946 | Map",PO Box 946 ,Phone: (907) 983-2739,Type: Brewpub
5351,Skeleton Key Brewery, ,",  ", ,Type: Planning,www.skeletonkeybrewery.com
5352,Skeptic Brewing Co., ,"Chicago, IL 60657", ,Type: Planning,Sketchbook Brewing Company
5353,Sketchbook Brewing Company,825 Chicago Ave ,"Evanston, IL 60202-2375 | Map",825 Chicago Ave ,Phone: (847) 859-9051,Type: Micro
5354,Skewed Brewing,21182 Salmon Run Mall Loop W ,"Watertown, NY 13601-2244 | Map",21182 Salmon Run Mall Loop W ,Type: Brewpub,www.skewedbrew.com
5355,Skeye Brewing,900 S Hover St Ste D ,"Longmont, CO 80501-7941 | Map",900 S Hover St Ste D ,Type: Micro,Skookum Brewery
5356,Skookum Brewery,17925 59th Ave NE #A ,"Arlington, WA 98223-6352 | Map",17925 59th Ave NE #A ,Phone: (360) 652-4917,Type: Micro
5357,Skull Camp Brewing,765 Round Peak Church Rd ,"Mount Airy, NC 27030-8421 | Map",765 Round Peak Church Rd ,Phone: (336) 352-5595,Type: Micro
5358,Skull Camp Brewing,1980 N Bridge St ,"Elkin, NC 28621-2106 | Map",1980 N Bridge St ,Phone: (336) 352-5595,Type: Micro
5359,Sky High Brewing,160 NW Jackson Ave ,"Corvallis, OR 97330-4827 | Map",160 NW Jackson Ave ,Phone: (541) 207-3277,Type: Micro
5360,Skyland Ale Works,109 N Maple St Ste C ,"Corona, CA 92880-1798 | Map",109 N Maple St Ste C ,Phone: (951) 817-3037,Type: Micro
5361,Slanted Rock Brewing Co,2374 E Cinema Dr Ste 100 ,"Meridian, ID 83642-5080 | Map",2374 E Cinema Dr Ste 100 ,Phone: (208) 288-2192,Type: Micro
5362,Slapshot Brewing,3223 S Kolin Ave ,"Chicago, IL 60623-4835 | Map",3223 S Kolin Ave ,Phone: (708) 935-4178,Type: Micro
5363,Slate Creek Brewing Co,1710 N 4th St Ste 115 ,"Coeur D Alene, ID 83814-6000 | Map",1710 N 4th St Ste 115 ,Phone: (208) 664-7727,Type: Micro
5364,Slaughter County Brewing,1307 Bay St ,"Port Orchard, WA 98366-5105 | Map",1307 Bay St ,Phone: (360) 329-2340,Type: Brewpub
5365,Sleeping Giant Brewing Company,2500 W 5th Ave ,"Denver, CO 80204 | Map",2500 W 5th Ave ,Type: Micro,www.sleepinggiantbrewing.com
5366,Sleeping Lady Brewing Co/Snow Goose Restaurant,717 W 3rd Ave ,"Anchorage, AK 99501-2104 | Map",717 W 3rd Ave ,Phone: (907) 277-7727,Type: Brewpub
5367,Sleepwalker Spirits and Ale,1629 E Kalamazoo St Ste 2 ,"Lansing, MI 48912-2701 | Map",1629 E Kalamazoo St Ste 2 ,Phone: (989) 948-8086,Type: Micro
5368,Sleepy Dog Brewing Co,1920 E University Dr ,"Tempe, AZ 85281-4608 | Map",1920 E University Dr ,Phone: (480) 967-5476,Type: Micro
5369,Sleepy Owl Brewery, ,"Kingsport, TN 37660", ,Type: Planning,Slesar Bros Brewing Co - Corp
5370,Slesar Bros Brewing Co - Corp,345 Cochituate Rd ,"Framingham, MA 01701-4607 | Map",345 Cochituate Rd ,Phone: (508) 309-3373,Type: Brewpub
5371,Slesar Bros Brewing Co - Corp,18 Shipyard Dr Ste 1K ,"Hingham, MA 02043-1670 | Map",18 Shipyard Dr Ste 1K ,Phone: (781) 749-2337,Type: Brewpub
5372,Slesar Bros Brewing Co - Corp,203 Cabot St ,"Lowell, MA 01854-3620 | Map",203 Cabot St ,Phone: (978) 937-2337,Type: Brewpub
5373,Slesar Bros Brewing Co - Corp,112 Canal St ,"Boston, MA 02114-1805 | Map",112 Canal St ,Phone: (617) 896-2337,Type: Brewpub
5374,Slesar Bros Brewing Co - Corp,110 Canal St ,"Boston, MA 02114-1805 | Map",110 Canal St ,Phone: (617) 896-2300,Type: Brewpub
5375,Slesar Bros Brewing Co - Corp,278 Derby St ,"Salem, MA 01970-3635 | Map",278 Derby St ,Phone: (978) 745-2337,Type: Brewpub
5376,Slesar Bros Brewing Co - Corp,61 Brookline Ave ,"Boston, MA 02215-3406 | Map",61 Brookline Ave ,Phone: (617) 536-2337,Type: Brewpub
5377,Slew City Brewing, ,"Cedar Rapids, IA 52401", ,Type: Planning,Slippery Pig Brewery
5378,Slippery Pig Brewery,902 NW Slippery Pig Way ,"Poulsbo, WA 98370-9622 | Map",902 NW Slippery Pig Way ,Phone: (360) 394-1686,Type: Micro
5379,SLO Brew,1119 Garden St ,"San Luis Obispo, CA 93401-3525 | Map",1119 Garden St ,Phone: (805) 237-8444,Type: Brewpub
5380,SLO Brewing Co, ,"San Luis Obispo, CA 93401", ,Type: Planning,Sloop Brewing
5381,Sloop Brewing,27 Wilson Blvd ,"Poughkeepsie, NY 12603-3303 | Map",27 Wilson Blvd ,Phone: (917) 848-3865,Type: Micro
5382,Slowboat Brewing Company, ,"Laurel, MS 39440-3461", ,Type: Planning,www.slowboatbrewco.com
5383,Slowfire Brewing and Distilling, ,"Spring Hill, TN 37174", ,Phone: (931) 797-5888,Type: Planning
5384,Sly Fox Brewing Co,520 Kimberton Rd Pikeland Village Square,"Phoenixville, PA 19460-4737 | Map",520 Kimberton Rd Pikeland Village Square,Phone: (610) 935-4540,Type: Brewpub
5385,Sly Fox Brewing Co,331 Circle of Progress Dr ,"Pottstown, PA 19464-3811 | Map",331 Circle of Progress Dr ,Phone: (484) 524-8210,Type: Regional
5386,Small Town Brewery,1000 N Rand. Road #204,"Wauconda, IL 60084-1182 | Map",1000 N Rand. Road #204,Phone: (314) 276-8277,Type: Micro
5387,Smart Beer Company,PO Box 430 ,"New Paltz, NY 12561 | Map",PO Box 430 ,Type: Micro,Smartmouth Brewing Co
5388,Smartmouth Brewing Co,1309 Raleigh Ave ,"Norfolk, VA 23507-1367 | Map",1309 Raleigh Ave ,Type: Micro,www.smartmouthbrewing.com
5389,Smiling Toad Brewery,1757 S 8th St Ste 100 ,"Colorado Springs, CO 80909-6559 | Map",1757 S 8th St Ste 100 ,Phone: (719) 418-2936,Type: Micro
5390,Smith & Lentz Brewing, ,"Nashville, TN 37206-3609", ,Type: Planning,www.smithandlentz.com
5391,"Smith River Brewing Company
", ,"Crescent City, CA ", ,Type: Planning,Smith Rock Brewing
5392,Smith Rock Brewing,546 NW 7th St ,"Redmond, OR 97756-1628 | Map",546 NW 7th St ,Phone: (541) 279-7005,Type: Brewpub
5393,Smog City Brewing,1901 del Amo Blvd Ste B ,"Torrance, CA 90501-1350 | Map",1901 del Amo Blvd Ste B ,Phone: 310-320-SMOG,Type: Micro
5394,Smoke & Hops,3799 E US 290 ,"Dripping Springs, TX 78620 | Map",3799 E US 290 ,Phone: (512) 655-3069,Type: Brewpub
5395,Smoke Mountain Brewery,6500 Casitas Pass Rd ,"Ventura, CA 93001-9794 | Map",6500 Casitas Pass Rd ,Phone: (805) 804-7954,Type: Micro
5396,Smokehouse Brewing,1130 Dublin Rd ,"Columbus, OH 43215-1039 | Map",1130 Dublin Rd ,Phone: (614) 485-0227,Type: Brewpub
5397,Smoky Mountain Brewery,6515 Kingston Pike ,"Knoxville, TN 37919-4826 | Map",6515 Kingston Pike ,Phone: (865) 673-3377,Type: Brewpub
5398,Smoky Mountain Brewery,1004 Parkway Ste 501 ,"Gatlinburg, TN 37738-3172 | Map",1004 Parkway Ste 501 ,Phone: (865) 436-4200,Type: Brewpub
5399,Smoky Mountain Brewery,2530 Parkway Ste 15 ,"Pigeon Forge, TN 37863-7006 | Map",2530 Parkway Ste 15 ,Type: Brewpub,www.smoky-mtn-brewery.com
5400,Smoky Mountain Brewery,11308 Parkside Dr ,"Knoxville, TN 37934-1971 | Map",11308 Parkside Dr ,Phone: (865) 288-5500,Type: Brewpub
5401,Smuggler's Brewpub,225 South Pine St ,"Telluride, CO 81435 | Map",225 South Pine St ,Phone: (970) 728-5620,Type: Brewpub
5402,Smuttynose Brewing Co,105 Towle Farm Rd ,"Hampton, NH 03842-1806 | Map",105 Towle Farm Rd ,Phone: (603) 436-4026,Type: Regional
5403,Smuttynose Brewing Co,56 Market St ,"Portsmouth, NH 03801-3750 | Map",56 Market St ,Phone: (603) 431-1115,Type: Brewpub
5404,Smylie Brothers Brewing Co,1615 Oak Ave ,"Evanston, IL 60201-3611 | Map",1615 Oak Ave ,Phone: (224) 999-7320,Type: Brewpub
5405,Snake River Brewing Co,265 S Millward St ,"Jackson, WY 83001-8582 | Map",265 S Millward St ,Phone: (307) 739-2337,Type: Micro
5406,Snipes Mountain Brewing Co,PO Box 274 ,"Sunnyside, WA 98944-0274 | Map",PO Box 274 ,Phone: (509) 837-2739,Type: Micro
5407,Snitz Creek Brewery,7 N 9th St ,"Lebanon, PA 17046-4902 | Map",7 N 9th St ,Phone: (717) 450-4467,Type: Brewpub
5408,Sno Town Brewery,511 2nd St ,"Snohomish, WA 98290-3009 | Map",511 2nd St ,Phone: (425) 231-8113,Type: Micro
5409,SnoHo Brewing Co, ,"Snohomish, WA ", ,Type: Planning,www.snohobrewing.com
5410,Snoqualmie Falls Brewing Co,PO Box 924 ,"Snoqualmie, WA 98065-0924 | Map",PO Box 924 ,Phone: (425) 831-2337,Type: Brewpub
5411,Snow Eagle Brewing,455 River Pkwy ,"Idaho Falls, ID 83402-3314 | Map",455 River Pkwy ,Phone: (208) 557-0455,Type: Micro
5412,Snowbank Brewing,225 9th St ,"Fort Collins, CO 80524-2565 | Map",225 9th St ,Phone: (970) 999-5658,Type: Micro
5413,Snowshoe Brewing Co,2050 Hwy 4 ,"Arnold, CA 95223 | Map",2050 Hwy 4 ,Phone: (209) 795-2272,Type: Brewpub
5414,Snowy Mountain Brewery,PO Box 869 601 E Pic Pike Rd,"Saratoga, WY 82331-0869 | Map",PO Box 869 601 E Pic Pike Rd,Phone: (307) 760-2302,Type: Micro
5415,Soaring Ridge Craft Brewers,523 Shenandoah Ave NW ,"Roanoke, VA 24016-2318 | Map",523 Shenandoah Ave NW ,Phone: (540) 529-2140,Type: Micro
5416,Soaring Wings Brewing,17111 S 138th St ,"Springfield, NE 68059-4810 | Map",17111 S 138th St ,Phone: (402) 253-2479,Type: Micro
5417,"Sobel's Obscure Brewery, LLC", ,"New Stanton, PA ", ,Type: Planning,Social Brewing Company
5418,Social Brewing Company, ,"Fort Worth, TX 76244-5909", ,Type: Planning,Social Kitchen & Brewery
5419,Social Kitchen & Brewery,1326 9th Ave ,"San Francisco, CA 94122-2309 | Map",1326 9th Ave ,Phone: (415) 681-0330,Type: Brewpub
5420,Societe Brewing Company,8262 Clairemont Mesa Blvd ,"San Diego, CA 92111-1702 | Map",8262 Clairemont Mesa Blvd ,Phone: (858) 598-5409,Type: Micro
5421,Sockeye Brewing Co,3019 N Cole Rd ,"Boise, ID 83704-5919 | Map",3019 N Cole Rd ,Phone: (208) 658-1533,Type: Micro
5422,Sockeye Brewing Co,12542 W Fairview Ave ,"Boise, ID 83713-0026 | Map",12542 W Fairview Ave ,Phone: (208) 322-5200,Type: Brewpub
5423,Solarc Brewing,134 S Avenue 57 ,"Los Angeles, CA 90042-4702 | Map",134 S Avenue 57 ,Phone: (508) 479-2502,Type: Micro
5424,Sole Artisan Ales, ,"Emmaus, PA 18049", ,Type: Micro,www.soleales.com
5425,Solemn Oath Brewery,1661 Quincy Ave Ste 179 ,"Naperville, IL 60540-3969 | Map",1661 Quincy Ave Ste 179 ,Phone: (630) 995-3062,Type: Micro
5426,Solera Brewery,4945 Baseline Dr ,"Mount Hood Parkdale, OR 97041-8703 | Map",4945 Baseline Dr ,Phone: (541) 352-5500,Type: Micro
5427,Solid Rock Brewing,2214 Bee Creek Rd ,"Spicewood, TX 78669-5136 | Map",2214 Bee Creek Rd ,Phone: (512) 571-1740,Type: Micro
5428,Solvang Brewing Co,1547 Mission Dr ,"Solvang, CA 93463-2607 | Map",1547 Mission Dr ,Phone: (805) 688-2337,Type: Brewpub
5429,SoMe Brewing Co,1 York St Ste 3 ,"York, ME 03909-1392 | Map",1 York St Ste 3 ,Phone: (215) 718-3541,Type: Micro
5430,Somerville Brewing Company,15 Ward St ,"Somerville, MA 02143-4228 | Map",15 Ward St ,Type: Contract,www.slumbrew.com
5431,Something Wicked Brewing Company,"34 Broadway, Suite 200 ","Hanover, PA 17331-3104 | Map","34 Broadway, Suite 200 ",Phone: (717) 316-5488,Type: Brewpub
5432,Sonoma Brewing Company,50 E Washington St ,"Petaluma, CA 94952-3115 | Map",50 E Washington St ,Phone: (707) 765-9694,Type: Brewpub
5433,Sonoma Springs Brewing Co,19449 Riverside Dr Ste 100 ,"Sonoma, CA 95476-6362 | Map",19449 Riverside Dr Ste 100 ,Phone: (707) 202-8295,Type: Micro
5434,Sonoran Brewing,3002 E Washington St ,"Phoenix, AZ 85034-1518 | Map",3002 E Washington St ,Phone: (602) 484-7775,Type: Micro
5435,Sons of Liberty Aleworks,747 Aliso St ,"Corona, CA 92879-3004 | Map",747 Aliso St ,Phone: (951) 278-1760,Type: Micro
5436,Soo Brewing Company,223 W Portage Ave ,"Sault Sainte Marie, MI 49783-1921 | Map",223 W Portage Ave ,Phone: (906) 632-4400,Type: Micro
5437,Soul Squared Brewing Co., ,"Fort Collins, CO 80524", ,Type: Planning,Sound Brewery
5438,Sound Brewery,650 NW Bovela Ln Ste 2 ,"Poulsbo, WA 98370-8357 | Map",650 NW Bovela Ln Ste 2 ,Phone: (360) 930-8696,Type: Micro
5439,Sound To Summit,1830 Bickford Ave Ste 111 ,"Snohomish, WA 98290-1751 | Map",1830 Bickford Ave Ste 111 ,Phone: (360) 294-8127,Type: Micro
5440,Sour Swill Brewhouse,1327 Spruce St ,"Boulder, CO 80302 | Map",1327 Spruce St ,Phone: (530) 893-3520,Type: Micro
5441,Souris River Brewing,32 3rd St NE ,"Minot, ND 58703-3108 | Map",32 3rd St NE ,Phone: (701) 837-1884,Type: Brewpub
5442,South Austin Brewery,415 E Saint Elmo Rd Ste 1D ,"Austin, TX 78745-1286 | Map",415 E Saint Elmo Rd Ste 1D ,Phone: (512) 354-2337,Type: Micro
5443,South Bend Brew Werks,216 S Michigan St ,"South Bend, IN 46601-2002 | Map",216 S Michigan St ,Phone: (574) 334-0356,Type: Brewpub
5444,South College - Ashville, ,"Asheville, NC 28803-1526", ,Type: Planning,South County Brewing Co
5445,South County Brewing Co,104 Mill St ,"Fawn Grove, PA 17321-9654 | Map",104 Mill St ,Phone: (717) 382-4016,Type: Micro
5446,South Gate Brewing Co,40233 Enterprise Dr ,"Oakhurst, CA 93644-8839 | Map",40233 Enterprise Dr ,Phone: (858) 232-1737,Type: Brewpub
5447,South Lake Brewrey, ,"Yorba Linda, CA 92887", ,Type: Planning,www.southlakebeer.com
5448,South Loop Brewing,5435 North Wolcott Avenue ,"Chicago, IL 60640-1017 | Map",5435 North Wolcott Avenue ,Type: Micro,www.southloopbrewing.com
5449,South Park Brewing,297 1/2 US Hwy 285 ,"Fairplay, CO 80440-2131 | Map",297 1/2 US Hwy 285 ,Phone: (719) 836-1932,Type: Micro
5450,South Park Brewing,1517 30th Street ,"San Diego, CA 92102-1503 | Map",1517 30th Street ,Phone: (619) 610-9038,Type: Brewpub
5451,South Shore Brewery,808 Main St W ,"Ashland, WI 54806-1404 | Map",808 Main St W ,Phone: (715) 682-9199,Type: Brewpub
5452,South Street Brewery,106 W South St ,"Charlottesville, VA 22902-3600 | Map",106 W South St ,Phone: (434) 293-6550,Type: Brewpub
5453,Southampton Publick House,40 Bowden Sq ,"Southampton, NY 11968-3302 | Map",40 Bowden Sq ,Phone: (631) 283-2800,Type: Brewpub
5454,Southbound Brewing Co,107 E Lathrop Ave ,"Savannah, GA 31415-2106 | Map",107 E Lathrop Ave ,Type: Micro,www.southboundbrewingco.com
5455,Southend Brewery and Smokehouse - Charleston,161 E Bay St ,"Charleston, SC 29401-2125 | Map",161 E Bay St ,Phone: (843) 853-4677,Type: Brewpub
5456,Southerleigh Brewing,"136 E Grayson St., Ste 120 ","San Antonio, TX 78212-4114 | Map","136 E Grayson St., Ste 120 ",Phone: (210) 542-5376,Type: Brewpub
5457,Southern Appalachian Brewery,822 Locust St Ste 100 ,"Hendersonville, NC 28792-3758 | Map",822 Locust St Ste 100 ,Phone: (828) 684-1235,Type: Micro
5458,Southern Barrel Brewing Company,375 Buckwalter Place Blvd ,"Bluffton, SC 29910 | Map",375 Buckwalter Place Blvd ,Phone: (843) 837-2337,Type: Brewpub
5459,Southern Brewing & Winemaking Brewery,4500 N Nebraska Ave ,"Tampa, FL 33603-4149 | Map",4500 N Nebraska Ave ,Phone: (813) 238-7800,Type: Brewpub
5460,Southern Brewing Co, ,"Athens, GA 30601-1517", ,Phone: (770) 725-7917,Type: Planning
5461,Southern Grist Brewing Company, ,"Nashville, TN 37206-1733", ,Type: Planning,Southern Heritage Brewing Company
5462,Southern Heritage Brewing Company, ,"Doe Run, MO 63637-3202", ,Type: Planning,Southern Hops Brewing Co.
5463,Southern Hops Brewing Co.,911 Sunset Acres Ln ,"Florence, SC 29501-6073 | Map",911 Sunset Acres Ln ,Phone: (843) 667-1900,Type: Brewpub
5464,Southern Oregon Brewing Co,1922 United Way ,"Medford, OR 97504-4970 | Map",1922 United Way ,Type: Micro,www.sobrewing.com
5465,Southern Pacific Brewing,620 Treat Ave ,"San Francisco, CA 94110-2016 | Map",620 Treat Ave ,Phone: (415) 341-0152,Type: Brewpub
5466,Southern Pines Brewing Company,565 Air Tool Drive Ste E ,"Southern Pines, NC 28387 | Map",565 Air Tool Drive Ste E ,Phone: (910) 693-7742,Type: Micro
5467,Southern Prohibition Brewing,301 Mobile St ,"Hattiesburg, MS 39401-3406 | Map",301 Mobile St ,Type: Micro,www.soprobrewing.com
5468,Southern Sky Brewing Co, ,"Kennesaw, GA 30144", ,Type: Planning,www.southernskybrewingco.com
5469,Southern Star Brewing,1207 N FM 3083 Rd E ,"Conroe, TX 77303-1875 | Map",1207 N FM 3083 Rd E ,Phone: (936) 441-2739,Type: Micro
5470,Southern Tier Brewing Co,2072 Stoneman Cir ,"Lakewood, NY 14750-9779 | Map",2072 Stoneman Cir ,Phone: (716) 763-5479,Type: Regional
5471,Southpaw BBQ & Southern Cooking,2170 Mission St ,"San Francisco, CA 94110-1247 | Map",2170 Mission St ,Phone: (415) 934-9300,Type: Brewpub
5472,Southpaw Brewpub, ,"Rochester, NY 14620-1393", ,Type: Planning,Southport Brewing Co
5473,Southport Brewing Co,850 W Main St ,"Branford, CT 06405-3422 | Map",850 W Main St ,Phone: (203) 481-2739,Type: Brewpub
5474,Southport Brewing Co,131 Summer St ,"Stamford, CT 06901-2323 | Map",131 Summer St ,Phone: (203) 327-2337,Type: Brewpub
5475,Southport Brewing Co,819 Bridgeport Ave ,"Shelton, CT 06484-4714 | Map",819 Bridgeport Ave ,Phone: (203) 225-7734,Type: Brewpub
5476,Southport Brewing Co,2600 Post Rd ,"Southport, CT 06890-1258 | Map",2600 Post Rd ,Phone: (203) 256-2337,Type: Brewpub
5477,Space City Brewing, ,",  ", ,Type: Planning,www.spacecitybrew.com
5478,Spangalang Brewery,2736 Welton St Ste 102 ,"Denver, CO 80205-2900 | Map",2736 Welton St Ste 102 ,Phone: (303) 297-1276,Type: Micro
5479,Spanglish Ales, ,",  ", ,Type: Planning,Speakeasy Ales and Lagers
5480,Speakeasy Ales and Lagers,PO Box 882724 ,"San Francisco, CA 94188-2724 | Map",PO Box 882724 ,Phone: (415) 642-3371,Type: Regional
5481,SpecHops Brewing Company, ,"Vista, CA 92081-8508", ,Type: Planning,www.spechops.com
5482,Spellbound Brewing,10 Lippincott Ln Unit 12 ,"Mount Holly, NJ 08060-1603 | Map",10 Lippincott Ln Unit 12 ,Phone: (609) 744-0665,Type: Micro
5483,Spencer Brewery,167 N Spencer Rd ,"Spencer, MA 01562-1232 | Map",167 N Spencer Rd ,Type: Micro,www.spencerbrewery.com
5484,Spencer Devon Brewing,106 George St ,"Fredericksburg, VA 22401-5812 | Map",106 George St ,Spider Bite Brewing Co,920 Lincoln Ave #5 
5485,Spider Bite Brewing Co,920 Lincoln Ave #5 ,"Holbrook, NY 11741 | Map",920 Lincoln Ave #5 ,Phone: (631) 942-3255,Type: Contract
5486,Spilker Ales,PO Box 11 300 W 4th St,"Cortland, NE 68331-0011 | Map",PO Box 11 300 W 4th St,Phone: (402) 798-7445,Type: Micro
5487,Spilled Grain Brewhouse,300 Elm Street E ,"Annandale, MN 55302-9406 | Map",300 Elm Street E ,Phone: (612) 743-5224,Type: Micro
5488,Spindletap Brewery, ,"Houston, TX 77016-2622", ,Type: Planning,www.spindletapbrewery.com
